SOURCE,TARGET
id13616,id25049
id27122,id13616
id12022,id13616
id12025,id12022
id14494,id12022
id28230,id14494
id28107,id14494
id14676,id14494
id12038,id12022
id18225,id12022
id17660,id18225
id12062,id12022
id12063,id12062
id12064,id12062
id28105,id12064
id12065,id12062
id28288,id12065
id14671,id12062
id13872,id12062
id12066,id12062
id12074,id12022
id18229,id12022
id21252,id18229
id28190,id21252
id27807,id18229
id21261,id18229
id28001,id21261
id27421,id18229
id25576,id12022
id12042,id12022
id12044,id12042
id12045,id12042
id17316,id12042
id27419,id12042
id17562,id12042
id24834,id12042
id25595,id12042
id12056,id12042
id12047,id12042
id25868,id12042
id12043,id12042
id30683,id13616
id30682,id30683
id12315,id30683
id27167,id30683
id12084,id13616
id12522,id12084
id12120,id12084
id12111,id12084
id14220,id12084
id13589,id12084
id12139,id12084
id13848,id12084
id13951,id12084
id12129,id12084
id13583,id12084
id12133,id12084
id12116,id12084
id12588,id12084
id13953,id12084
id13954,id12084
id15771,id12084
id15774,id15771
id15773,id15771
id15772,id15771
id21104,id15771
id13856,id12084
id12135,id13856
id12141,id12084
id13593,id12084
id12143,id12084
id17151,id13616
id25178,id13616
id32495,id13616
id32499,id32495
id20886,id32499
id12182,id32499
id20888,id32499
id20885,id32499
id32502,id32495
id25593,id32495
id27256,id32495
id32503,id32495
id27260,id32495
id32504,id32495
id17068,id32504
id17065,id32504
id19018,id32504
id27177,id32504
id25600,id32504
id32505,id32495
id17067,id32505
id17066,id32505
id19024,id32505
id15796,id32505
id27228,id32495
id28203,id13616
id12364,id28203
id12169,id28203
id14265,id28203
id16578,id13616
id16577,id16578
id26776,id16577
id26262,id26776
id30678,id26776
id16579,id16578
id12324,id16579
id12331,id16579
id12328,id16579
id12329,id16579
id12323,id16579
id20008,id16579
id12332,id16579
id12333,id16579
id20010,id16579
id28115,id16579
id12452,id13616
id12453,id12452
id18310,id12453
id12360,id18310
id12742,id12452
id18910,id12742
id27600,id12742
id16553,id12742
id12754,id12742
id16557,id12754
id18909,id12742
id28108,id12742
id16552,id12742
id18909,id16552
id12755,id12452
id15249,id12755
id25687,id15249
id26295,id15249
id12328,id15249
id27088,id15249
id17251,id15249
id17253,id15249
id17260,id15249
id15746,id15249
id17280,id15249
id17281,id15249
id17282,id15249
id17283,id15249
id17285,id15249
id17284,id15249
id15260,id15249
id23601,id15249
id25875,id15249
id24227,id15249
id12510,id12452
id26761,id12510
id26154,id12510
id18308,id12510
id18309,id12510
id18311,id12510
id13342,id12510
id13720,id12510
id16484,id13616
id32533,id16484
id13607,id13616
id19134,id13616
id28697,id19134
id28698,id28697
id28699,id28697
id28700,id28697
id22370,id19134
id12541,id19134
id12542,id19134
id12543,id19134
id12572,id19134
id14218,id12572
id14219,id12572
id13877,id14219
id14220,id12572
id14226,id12572
id27146,id14226
id22379,id12572
id26041,id19134
id26040,id26041
id12552,id19134
id12553,id12552
id12405,id19134
id12409,id12405
id12407,id12405
id13937,id19134
id12560,id19134
id12562,id12560
id13608,id12560
id13661,id12560
id12563,id13661
id13662,id12560
id12561,id12560
id13628,id12560
id13605,id12560
id26160,id19134
id26163,id26160
id26164,id26160
id26168,id26160
id12358,id26160
id27146,id19134
id12607,id19134
id27987,id12607
id12582,id19134
id12559,id19134
id12584,id19134
id13890,id19134
id12583,id19134
id12614,id19134
id12612,id19134
id31300,id13616
id32556,id31300
id31306,id31300
id19422,id13616
id20930,id19422
id27916,id13616
id25748,id27916
id25761,id27916
id28422,id27916
id25750,id27916
